TITLE	DATES	LOCATION	DESCRIPTION
Julia C. Butridge Gallery Exhibit: Scent of Austin	March 23, 2024 - April 20, 2024	Dougherty Arts Center	On display at the Julia C. Butridge Gallery the exhibit "Scent of Austin" photographic artwork by artist Ziesook You.  Ziesook incorporates symbolism inspired by Broq-pa floral traditions to capture intimate, multi-layered portraits. She began working with this theme in 2016, taking photos of her twin daughters, and has since expanded her subjects to include single mothers, seniors, and people with multi-cultural backgrounds. Since moving to Austin two years ago, Ziesook has begun work on her “Scent of Austin” series, utilizing flora and fauna from central Texas in her photographs of Austinites.  The City of Austin is committed to compliance with the Americans with Disabilities Act. Reasonable modifications and equal access to communications will be provided upon request. For assistance please contact (512) 974-3914 or Relay Texas 7-1-1
Last Week of 'GARY JAMES McQUEEN' Exhibit	March 20, 2024 - March 24, 2024	West Chelsea Contemporary	Don't miss the last chance to view GARY JAMES McQUEEN at West Chelsea Contemporary, the first solo US exhibition by London-based artist Gary James McQueen – nephew of renowned fashion icon Alexander ‘Lee’ McQueen. The gallery opened the exhibit on March 2, presenting for the first time the artist’s entire body of work, influenced by the mentorship of Lee from a young age, which encouraged his creative exploration and fostered his ability to world-build at the intersection of art, fashion and technology. GARY JAMES McQUEEN is running through Sunday, March 24.  From beginning roles in design at the house of McQueen, creating a first of its kind, fully digital fashion show under his own brand, and designing ‘skins’ for avatars with the likes of Disney’s latest collaborator, Epic Games – to breathing life into his trademark chrome skull artwork that became the face of the exhibit which traveled to The Met and Victoria and Albert Museum in 2010, Gary James McQueen is ever pushing the envelope of what it means to be an artist. This first solo exhibit in the US serves as an exploration of artistic innovation, an homage to familial heritage, and an invitation to experience the extraordinary future of creative expression.
Kathleen Madigan: THE POTLUCK PARTY	March 23, 2024	ACL Live at The Moody Theater	Comedian Kathleen Madigan's 33-year comedy career is showing no signs of slowing down as she currently on her all-new tour, Boxed Wine & Tiny Banjos in 2023. Madigan has been touring 250 nights a year on the road and has risen from performing in comedy clubs to performing in marquee theaters with sold-out shows.
Lake Effect Glow 10K	March 23, 2024	Mozart's Coffee Roaster	Join the Statesman Cap10K 🦔 on a new adventure 🏃‍♀️ that combines your interest in exploring new training routes with the love for a delicious cup o’ joe ☕: Austin’s Coffee House 10K 🌞 Sunrise Tour. Through this new training program, we’re inviting you to join us Saturday mornings to explore new custom-designed 5K or 10K routes that start and finish at local coffee houses. Reconnect with friends 👩‍👩‍👧‍👦 and meet new ones. Join us at the start line 🚩of this satisfying new training opportunity. On March 23rd, we will meet at Mozart’s on Lake Austin.  Lake Effect Glow 10K presented by Mozart’s Coffee Roasters Featuring RAW Running Club All Abilities Welcome 7:45 a.m. Meet 'n' Greet 8:00 a.m. Run Starts Distance: from 1 mi to 6 mi options Route Maps & Apps: https://www.cap10k.com/lake-effect-glow-10k/  Your passport awaits: cap10k.com/sunrise-tour/. Don't forget about our Refer a Friend program, because it’s so much more fun to train with a sidekick! Receive $2 back for every friend you register*, and $2 off your compadre’s registration.
Legacies of the Treaty of Guadalupe Hidalgo Exhibition	February 16, 2024 - May 16, 2025	Bullock Texas State History Museum	Explore the short-term and long-term impacts of the Treaty of Guadalupe Hidalgo through artifacts, documents, artworks, and media.  Featuring 29 artifacts, the special focus exhibit, located in the Statehood Gallery on the Second Floor of the Texas History Gallery, explores the short-term and long-term impacts of the Treaty of Guadalupe Hidalgo on Texas, the United States, Mexico, and Tribal Nations.  At the heart of the exhibit is the Treaty itself, a document that established the border between Texas and Mexico at the Rio Grande and ceded over half of Mexico's northernmost lands to the United States. Don't miss the handwritten pages of the Treaty of Guadalupe Hidalgo, on loan from the National Archives and Records Administration in Washington, D.C.
Los Verdes Watch Party | Austin FC vs Orlando City FC	March 23, 2024	Brewtorium	Join supporter group Los Verdes on March 23rd as they cheer Austin FC to a victory over Orlando City Football Club at The Brewtorium! Kickoff is scheduled for 6:30pm. A donation drive for The Laundry Project will also be underway so bring supplies to drop off. Family friendly event.
MONICA NEVI	March 22, 2024 - March 23, 2024	Cap City Comedy Club	Monica Nevi is a native of Washington State, having grown up about 20 minutes south of Seattle, in the glory of Renton, Washington. A collegiate basketball player, after injuries ended her career she decided to move forward with the other thing people love for women to do and pursue her strong interest in stand-up comedy. Years later, Monica is an internationally touring standup comedian, performing in festivals, clubs and colleges all over. She created, produced and hosts the documentary series called ‘80 For 80.’ She has been seen on FOX’s Laughs TV Show as well as in sketches on ESPN’s Sports Center. Monica’s debut standup album Mostly Finger Guns was #1 on the comedy charts followed a month later by her #1 comedic guided meditation album Chill. You can also find her weekly podcast “Dumb Pitches” on the Helium Podcast Network.  Fri, Mar 22, 2024  8:00 PM  Sat, Mar 23, 2024  8:00 PM
March Madness	March 19, 2024 - March 31, 2024	Meanwhile Brewing Co.	Looking for somewhere to watch the March Madness games? Make that somewhere Meanwhile!⁠ We're taking a pause on our concerts for the next couple of weeks to show games on our big outdoor screen.⁠ Come early to claim your spot. We'll see you soon! Follow @meanwhilebeer on Instagram or check out meanwhilebeer.com to stay updated!
Margarita Madness	March 14, 2024 - April 7, 2024	Desert Door Distillery	Desert Door presents Margarita Madness, a clash of titans that will result in one superior marg to rule them all. The competition will be running bracket style from Thursday, March 14 to Sunday, April 7 with a total of eight margaritas: four the first weekend and four the second, followed by a round of four and a final head-to-head competition. Visitors can come down to the tasting room Thursday through Sunday to try them all and vote their favorite to the final! For full tasting room operating hours, please visit www.desertdoor.com/the-distillery.  Join us every weekend in March during our regular Tasting Room hours Th-Sun - Week One | March 14-17: Samples of the first 4 competitors* - Week Two | March 21-24: Samples of the second 4 competitors* - Week Three | March 28-31: Samples of the winning cocktails from weeks one and two* - Week Four Finale | April 4-7: Two fully dressed margaritas, head to head*
Music America: Iconic Objects from America's Music History Exhibit	February 17, 2024 - August 11, 2024	LBJ Presidential Library	Music America exhibit debuts at the LBJ Presidential Library and is on display from February 17 - August 11, 2024. This new exhibit features more than 100 iconic objects from America's music history. The LBJ Presidential Library and the Bruce Springsteen Archives & Center for American Music invite you to explore the exhibit "Music America: Iconic Objects from America's Music History," on display at the LBJ Library.  The Library is open daily from 9 – 5. Last visitor admitted at 4 pm.  "Music America" features instruments, hand-written original lyrics, books, photographs, costumes and other objects from major artists performing in all walks of American music in different decades and tells the story of those artists who contributed to it. Visitors will be able to see artifacts from Texas artists Buddy Holly, Janis Joplin, Stevie Ray Vaughan and Willie Nelson as well as national performers B.B. King, Billie Holiday, Bob Dylan, Carlos Santana, Ella Fitzgerald, Elvis Presley, Frank Sinatra, Jimi Hendrix, Johnny Cash, Lead Belly, Sam Cooke, Whitney Houston, and more.  "Music America" is curated by the Bruce Springsteen Archives & Center for American Music in association with the Rock & Roll Hall of Fame and Museum, New Orleans Jazz Museum, Hard Rock International and other institutions nationwide.
Marcia Ball's 75th Birthday	March 23, 2024	State Theatre	Marcia Ball is producing three very special events to celebrate her 75th birthday and raise money for HOME - Housing Opportunities for Musicians and Entertainers - our nonprofit that pays rent for older musicians in the Austin area.  Here's the line-up:  Friday night at the Sagebrush, 5500 South Congress, with Marcia's band plus Terrance Simien and the Zydeco Experience. Terrance is a two-time Grammy winner with 40 years of live performances. He has toured with Los Lobos, the Dave Matthews Band, and Robert Palmer. His 'Creole for Kidz and the History of Zydeco' shows are legendary.  Saturday night at The State Theatre, 719 Congress Avenue, downtown, with Johnny Nicholas and the Moon Mullican Show featuring Linda Gail Lewis, Earl Poole Ball, Katie Shore, and Danny Levin followed by an extravaganza of stars: Marcia's band plus Delbert McClinton, Tracy Nelson, Ruthie Foster, Sue Foley, Eve Monsees, Shelley King, and Carolyn Wonderland.  Sunday, a Pianorama Brunch at Antone's, 305 East 5th Street, with Floyd Domino, Nick Connolly, Johnny Nicholas, Red Young, and Marcia plus special guest Henri Herbert.
Michael Malone	March 23, 2024	Cactus Cafe	Doors open at 7 p.m., show starts at 7:30 p.m.  Join us for an evening of jazz with world-renowned saxophonist and composer Michael Malone.
Mini Vibe Market	March 23, 2024	Dripping Springs Distilling	Spend a day with Vibe Artisan Markets at the gorgeous Dripping Springs Distilling tasting room for our Mini Vibe Market. Shop the finest handmade & handcrafted local artisan goods. Event will include 40+ local artists, creatives & makers, Dripping Springs Distilling drinks, live music, delicious food trucks & in-house kitchen. FREE to attend, kid & dog friendly, free parking.
Our given distance by Erin Cunningham &amp; Tammie Rubin	March 1, 2024 - March 30, 2024	ICOSA Collective	In this exhibition, sculptors Cunningham and Rubin converse through objectness to find connections to women's labor by delving into each of their familial lineage. Labor roles such as housekeeper, seamstress, cook, caretaker, and homemaker are common threads referenced in Our given distance. Cast iron, textiles, found objects, collaged fans, porcelain, wax, and graphite sculptures hold space for the unseen domestic labor of women. Both artists have matriarchal southern roots and shared generational labor.
Musical Storytime	March 23, 2024	BookPeople	Welcome to Children's Musical Storytime at BookPeople! Join us on Sat, Mar 23, 2024 at 10:30 AM for a FREE fun-filled event where kids can enjoy interactive storytelling with live music. Our talented musicians will bring popular children's books to life through their music, engaging young minds and sparking their creativity. This event is perfect for families looking for a unique and entertaining activity to enjoy together. And, March's storytime will have a special guest: Esteban the Crayon, from the series "The Day the Crayons Quit."  Instrument petting zoo to follow the 30 minute program!
NOCHE CON OSVALDO	March 23, 2024	VIP Event Center	Get Ready, Austin!! Osvaldo Ayala, the legendary accordion virtuoso is finally coming to our city. He is bringing his musical talent to the heart of Texas. We'll have an unforgettable night of music and dance. Come and join us in the greatest celebration so far of our cultural heritage, with the rhythms and sounds that will reach deep into your soul and make you want to dance all night. Folklore y Ritmos de Panama's dance troupe will join in the celebration and perform your favorite dances, for your total enjoyment.
Parts of the Whole	March 23, 2024	Abiding Love Lutheran Church	Join us for an evening of music as chamber ensembles from the ACO present an evening of chamber music . Ensembles from two to four players will be featured on stage for an exciting evening of live chamber music.
Poe - A Tale of Madness	3/23/2024, 3/24/2024	Long Center for the Performing Arts	Following the unprecedented success of Grimm Tales, the first ballet commissioned by the Butler New Choreography Endowment, join us for the second offering as Stephen Mills explores the haunted life and works of Edgar Allen Poe in his latest world premiere. With a newly commissioned score by award-winning composer Graham Reynolds, and libretto by Shawn Sides, this experience is sure to leave you on the edge of your seat!  CHOREOGRAPHY | Stephen Mills MUSIC | Graham Reynolds (commissioned) LIBRETTO | Shawn Sides LIVE ACCOMPANIMENT | Austin Symphony Orchestra
Red Dress Exhibition	March 9, 2024 - April 6, 2024	George Washington Carver Museum, Cultural & Genealogy Center	We Ride For Her team will host several events during the festival’s run. On Saturday, March 9, the Medicine Wheel Riders will embark on a Medicine Wheel Ride through Austin on motorcycles lent by Harley-Davidson®, departing at 12:30pm from Cowboy Harley-Davidson® of Austin.  The ride will end at 4:30pm at The George Washington Carver Museum and Cultural Center, where the team behind We Ride For Her has organized a Red Dress Exhibition, featuring empty red dresses hanging through the museum’s lobby as a visual representation of the spirits of missing and murdered Indigenous women, girls, and 2Spirit individuals, inspired by the work of Métis artist Jaime Black. Upon the culmination of the ride at the museum, the community will celebrate the exhibition’s opening with a reception and remarks. The Red Dress Exhibition will remain open to the public from March 9 through April 6, 2024.  On Sunday, March 10, at 3:00 PM, following the film’s premiere, Level Forward will present a conversation at the The George Washington Carver Museum, ignited by the topics and themes of We Ride For Her. This event will excavate and amplify the roots of Black, Brown, and Indigenous solidarity as well as uplift the community ownership model deployed by We Ride For Her, centering equity, transparency, and wealth sharing. RSVP here for the panel.
Sharks Exhibition	November 22, 2023 - March 24, 2024	Bullock Texas State History Museum	Sharks is organized by the American Museum of Natural History, New York. The Museum gratefully acknowledges Warner Bros. Discovery for its generous support of Sharks. A selection of footage in Sharks has been provided by Discovery's Shark Week.  The Bullock Museum, a division of the Texas State Preservation Board, is funded by Museum members, donors, and patrons, the Texas State History Museum Foundation, and the State of Texas.
Ranch Hands Cowboylesque	February 17, 2024 - May 18, 2024	The Creek and The Cave	Follow the journey of one Ranch Hand's journey to get his southern charm back after a break up with the help of his fellow Ranch Hands!  So saddle up, The show runs 90 minutes, and is jam packed with singing, choreographed dancing, comedy and tons of crowd interaction!
Selena Paint Class	March 23, 2024	Revival Coffee	Join us for a fun sip & paint market 3/23 celebrating Selena from 2-4pm at Revival Coffee!  All ages welcome and fun for everyone!
Silent Disco Party	March 23, 2024	The Belmont	With swanky interiors, skyline views, an ivy covered courtyard and three full service bars, The Belmont, located in the heart of downtown Austin is the perfect spot for a Quiet Clubbing Silent Disco. Tune into three live DJs spinning 3 different genres of music on stage all night and never leave the dance floor.  Your 3 Live DJs are spinning all night: DJ 1 (Green): Top 40 Dance Hits DJ 2 (Red): 80’s, 90’s & 2K Throwbacks DJ 3 (Blue): Hip Hop, R&B  Your experience includes: • A pair of Quiet Events headphones • Glow in the dark gear • 3 DJs battling for your attention  Special Notes: • 21+ to party • Limited tickets available at the door • Dress code: Relaxed; jeans and sneakers are fine!  How it works: With your pair of Quiet Events headphones you can adjust the volume and choose between our three DJ’s with the flick of a switch. Each headset has a color LED that shows which channel you’re listening to. You can dance along with those tuning into the same DJ as you; it’s super social. There’s no loud music to talk over and there’s no ringing in your ears when you leave!
Slide in the DMs: A Comedy Show	March 23, 2024	Future Front	It’s stand-up, it’s improv, it’s a wildly good time! On Saturday, March 23rd, come to Future Front for Slide in the DMs, a uniquely entertaining comedy show inspired by the ridiculous inboxes of comedians and other local celebrities! Featuring a rotating cast of talented performers and hosted by local comedy jock Angelina Martin (Comedy Central, Buzzkill at The Buzz Mill), this delightfully dirty show has been cracking up Austinites for over 5 years.  Featuring improv by: Kenah Benefield Kim Lowery Javier Ungo Steph VF Alex Walker Lindsey Walther  With stand-up by special guest comedians Vanessa Gonzalez (Netflix, HBO, Comedy Central) and Clara Blackstone (2023 New Face at Just For Laughs Festival)! Doors open at 8pm with a free professional photo booth and happy hour for guests over 21! Tickets are just $20 online, $25 at the door. This hot and hilarious show tends to sell out so get your tickets ASAP to get in on the fun! Check us out on Instagram (@slideinthedmscomedy) for more info.  All ages allowed, 18+ reccomended for mature content.
The Alice Season 2: Through The Looking Glass	February 21, 2024 - March 24, 2024	Secret Location	Journey back to Wonderland and enter the splendid castle of The White Queen. For all Alice lovers, we welcome you back for our brand-new experience.  Join Alice, and meet some quirky characters along the way in her quest to turn back time. Solve riddles with The Cheshire Cat, play chess with The White Queen, and hear the tale of how Alice defeats the Jabberwocky and help her find a lost item. During your thrilling adventure, you will discover hidden secrets in chests, learn the Futterwacken dance and create a tasty smoking cocktail concoction as you pick your brain and untangle whether Wonderland is all an extraordinary dream or a crazy reality.  Expect a new and beautiful unique design, new tasty cocktails, and lots of surprises along the way! Your ticket includes 90 minutes in Wonderland, a welcome drink, 2x bespoke cocktails, and a sweet treat!  NOTE: -- The location will be disclosed to you after you've purchased your ticket.  -- This is a strictly 21+ event. Family friendly sessions are available for under 21s. -- Tickets are sold on a non-refundable basis. -- Date transfers are available at the discretion of the event organizer and there is a fee to do so.
Squirrel Nut Zippers	March 23, 2024	Paramount Theatre	The Paramount Theatre presents SQUIRREL NUT ZIPPERS JAZZ FROM THE BACK O' TOWN  Doors: 7pm Show: 8pm  A Musical Journey to the Birthplace of Jazz in 1920's New Orleans The Zippers will Provide a Delightful View Into This Mystical Era with Reverent, Yet Exciting, Renditions of Seminal Classics, Favorites from Their Catalogue, and Musings from Frontman Jimbo Mathus. Iconic Jazz Rockers Squirrel Nut Zippers have announced that they will be taking fans on a magical, musical voyage to the birthplace of Jazz as they present “Jazz from the Back O’ Town”–a four-show love letter to the prodigious New Orleans neighborhood known simply as the “Back O’ Town.  These intimate, yet devilishly-entertaining shows, will explore the late 19thCentury through the Roaring 20s NOLA Jazz scene as the Zippers provide a delightful view into this mystical era with reverent, yet exciting, renditions of such seminal classics as Jelly Roll Morton’s “Animule Ball,” Louis Armstrong’s “Back O’ Town Blues,” and many others.
Story Starts: An Improv Show for Kids and their Grown Ups	December 2, 2023 - March 30, 2024	ColdTowne Theater	You like comedy, right? Your kids probably do too. Why not see a live comedy show at ColdTowne Theater that makes you both laugh?  Featuring a fantastic adult cast of Improvisers, these shows embrace the joyful “Yes, and!” of Improv, inviting kids (and sometimes their adults) to jump in on the fun. High-energy, interactive, and hilarious. Audience members provide the ideas and characters that our actors bring to life. All ages are welcome. Tickets in advance via the website or at the door.
The Floating World Exhibit	February 11, 2024 - June 30, 2024	Blanton Museum of Art	After centuries of conflict and war, Japan’s Edo period (1603–1868) was a time of peace, stability, and economic growth. Enjoy more than 130 woodblock prints and painted scrolls from one of history’s most vibrant artistic eras.  These “pictures of the floating world” depict the lifestyle, pleasures, and interests of the urban population— from samurais, geishas, and kabuki actors to boat parties, palaces, and lush landscapes.  Not to be missed, this presentation marks the first time the Worcester Art Museum is touring its famed collection of Japanese artworks. The Floating World: Masterpieces of Edo Japan from the Worcester Art Museum will be on view starting February 11, 2024 through June 30, 2024.
This Friday: Saakred + Alejandra Regalado	March 8, 2024 - April 13, 2024	Big Medium	The Projecto’s Brand New Art Gallery Pioneering Experimental Projects by Emerging and Established Artists with a Diverse Selection and a Unique Perspective.  Upcoming March 8 - April 14, 2024: Gallery: Reimagining Aztlán: A Virtual Utopia, A Virtual Playground by Saakred Showroom: Inner Surface by Alejandra Regalado
Succulent Arrangement Workshop	3/16/2024, 3/23/2024, 3/30/2024	Easy Tiger (South)	Immerse yourself in a vibrant succulent experience at Easy Tiger South! Join us for the Succulent Extravaganza Workshop, where creativity blossoms, and you embark on a journey of hands-on botanical artistry. Tickets: Secure your place in this green-thumb adventure by purchasing your tickets at least 24 hours before the event. The countdown is on and space is limited to the first 25 participants – make sure you're part of the Succulent Extravaganza!  What's Included: 1. Expert Guidance: Embark on an enlightening hour-long session led by a succulent virtuoso. Receive step-by-step guidance, interesting facts, and care instructions about the succulents and plants featured in your creations. 2. Customization Wonderland: Unleash your creativity as you choose from a curated selection of beautiful planters and pots. Personalize your succulent masterpiece and leave with a unique piece of living art. 3. Botanical Beauties: Delight in a curated blend of 5-7 stunning succulent and plant varieties, selected for their unique beauty and resilience. Craft a botanical masterpiece that captivates the eye and nourishes the soul. 4. Premium Planting Materials: Experience the luxury of high-quality soil, pebbles, sand, and other premium planting materials. Your succulent creation will thrive long after the workshop, becoming a symbol of enduring beauty.  March 9th: Easy Tiger @ 1PM (3508 South Lamar Boulevard, Austin, TX 78704) March 16th: Easy Tiger @ 1PM (3508 South Lamar Boulevard, Austin, TX 78704) March 23rd: Easy Tiger @ 1PM (3508 South Lamar Boulevard, Austin, TX 78704) March 30th: Easy Tiger @ 1PM (3508 South Lamar Boulevard, Austin, TX 78704)
TEDxUTAustin 2024	March 23, 2024	Hogg Memorial Auditorium	Join us for TEDxUTAustin’s seventh annual conference and witness a diverse lineup of speakers, watch two incredible performances, and engage in networking opportunities with startups and other Austin-based organizations through our interactive showcase. This year, our goal at TEDxUTAustin is to encourage participants to view their communities as intricate mosaics, urging them to explore the diverse elements within, understand the unique contributions of each member, and collaboratively piece together innovative solutions for meaningful and enduring change.  Highlights of the Event: - Ten amazing speakers, including Kathy Terry, the Co-Founder of P-Terry's, Heather Morgan, Chief of Staff and Strategy at Alamo Drafthouse, and Nahid Siamdoust, Assistant Professor at UT Austin and former Time Magazine journalist. Our other speakers can be found on our Instagram (@tedxutaustin). - Interactive Partnerships Showcase, including Capital Factory portfolio companies - Post-Conference Reception, complete with an art gallery, and speaker meet-and-greet - Opportunities to network with similarly curious individuals from many walks of life
Two Births and the Afterlife Exhibit	January 11, 2024 - April 20, 2024	George Washington Carver Museum, Cultural & Genealogy Center	Two Births and the Afterlife features a new body of work by Milwaukee-based artist Aimée M. Everett, exploring the profound transformations experienced during childbirth and the subsequent journey of self-discovery into motherhood. The artist delves into the poignant realization that with every birth, there exists a simultaneous death—the departure of one's former identity to welcome a new, evolved self. Everett vividly portrays the overwhelming joy and simultaneous dissolution of familiar aspects of identity. This body of work—employing abstraction, minimalistic line-making, saturated colors, and melodic compositions—serves as an emotional odyssey.    The months following the birth unfolded into a challenging transition period.
Youth Art Month	February 26, 2024 - March 30, 2024	Bullock Texas State History Museum	March is Youth Art Month, a nationally recognized program that emphasizes the value of art education for all children, encourages support for quality school art programs, and promotes the importance of art appreciation for all people. Sponsored in Texas by the Texas Art Education Association (TAEA), the state has been a leader in Youth Art Month celebrations since the program began in 1961.  Throughout the month of March, the Museum's Third Floor Rotunda is home to an exhibition of over 100 original pieces of student artwork created by K-12 students from across the state. Visitors will enjoy an exhibit that showcases the talents and self-expression of the students of Texas.
Varta- A Storytelling Festival	March 23, 2024	Austin Public Library, Hampton Branch at Oak Hill	Highlights and agenda:  Varta will feature South-Asian artists, writers and storytellers in the library in the heart of South-West Austin.  Oral storytelling from South-Asia: The festival will launch an exhibit of oral storytelling techniques from South-Asia. The moving exhibit will be displayed in the library and will be accompanied by the launch of an audio storytelling project focused on storytelling.  Children’s Storytelling and Activities: Drop-in hands-on story activities! There will be a chance to learn new stories, color on various themes, and celebrate the South-Asian culture with a story performed by local children. We will also have a storytelling performances from artists.  Likhawat creative storytelling panel: Listen to local authors and storytellers on their inspiring journeys.  Dastangoi: Get ready to enjoy an immersive storytelling performance with a desi folk story.  Music and Dance performance: Families can also enjoy dance performances from local nonprofits and South-Asian artists.  Chance to win prizes, giveaways, free ice-creams, and overall have a FUN day engaging with art, literature and stories!
The Domain Farmers Market	January 20, 2024 - March 30, 2024	The Domain	Situated in front of iPic Theaters, The Domain Farmers Market will host seasonal events and activities for the whole family to enjoy, from cooking classes to health and wellness screenings. Each weekend, guests can support local vendors and explore the diverse and exciting offerings the Farmers Market has to offer. Experience the vibrant atmosphere of The Domain while shopping locally and sustainably!
poolboy: don't pick up	March 21, 2024 - March 23, 2024	The Museum of Human Achievement	"poolboy: don’t pick up" is a queer immersive party and performance about submissiveness, friendship, and failure. Your computer is whitehot in your lap. What happens next is entirely in your control.  poolboy is trying to write a murder mystery. His best friend, momgrab (artist Julia Mounsey), is ghosting him. To avoid writing, poolboy will do anything you say. Anything. "don’t pick up" seems simple, an excavation of 20 years of writing: from School of Rock fanfic to failed plays to abandoned journals. The audience freely interrupts with questions, new conversation topics, or by giving poolboy tasks to complete on the spot. Reality and fiction intertwine. All is not what it seems. "poolboy: don’t pick up" is pure chaos: a participatory, living, white-knuckle document of poolboy’s very real life.  This project is supported in part by the City of Austin Economic Development Department.
The Dresden Dolls	March 23, 2024	Mohawk Austin	Resound Presents: The Dresden Dolls at Mohawk on 3/23 Doors 7:00pm / Show 8:00pm All Ages
NASCAR at COTA	March 22, 2024 - March 24, 2024	Circuit of The Americas™ COTA	Race fans will experience another unforgettable weekend of NASCAR in Austin, Texas when the NASCAR Cup Series (NCS), NASCAR Xfinity Series (NXS) and NASCAR CRAFTSMAN Truck Series (NCTS) return to Circuit of The Americas (COTA) March 22-24, 2024. The action-packed NASCAR at COTA weekend will Keep Austin Wheeled with the EchoPark Automotive Grand Prix on Sunday preceded by the NASCAR Xfinity Series 250 and XPEL 225 on Saturday.  Tickets: Fans can purchase tickets and camping for the 2024 NASCAR at COTA weekend by visiting NASCARatCOTA.com. The full weekend schedule will be announced at a later date.
The Foxtones at 301 Congress	March 23, 2024	Downtown Austin	The Foxtones, a dynamic, local music ensemble known for their captivating performances, will take the stage for an evening of free live music at the 301 Congress Avenue Porch in front of the “Where the Wildflowers Grow” mural by DAAS. Join us on March 23 from 5:30-7:30pm in our latest venture to make downtown more vibrant and active while supporting local music. Be a part of the growing authentic vibe of our downtown Austin community.
XOB: encuentro de maíz	March 23, 2024 - March 24, 2024	Nepantla	For thousands of years, maiz has been a foundation of life, creation stories, ceremony as well the base of the diet and nutrition consumed by inhabitants of diverse lands throughout present-day occupied americas. Mesoamerica, (present-day) Mexico, and the subsequent cultures that have transformed, survived, and persisted would exist and can’t be understood without maiz. Corn has been inextricably intertwined with the worldview of indigenous peoples, and still is.  On March 23 + 24, we will be organizing a multi-media, community and City of Austin grant-funded event with the main goal of bringing together people from old austin, surrounding regions within tejas, and Mexico to connect them through their important work with maiz. XOB encuentro de maiz will highlight families and tortillerxs with historic roots in tejas, chefs who are preserving ancestral traditions through their food + new interpretations, and feature activists bringing awareness to the injustices and oppression indigenous people have been battling for centuries (and continue to) at the hands of colonization.  Activities will include: + Feria de Maíz e intercambio + Platicas c/ Q+A, panel w guest speakers (tbc) + Documentary screening + Musica + Corn doll class + Gallery/Exhibit + más  23 March 2024 @ NEPANTLA, USA, 1209i E Cesar Chavez, Austin, TX 78702 11:30 AM - 6 PM  24 March 2024 @ CASA DE RESISTENCIA BOOKSTORE, 2000 Thrasher Lane, Austin, TX 78741 11 AM - 5 PM
WILLIS	March 23, 2024	Parish	Resound Presents: WILLIS at Parish on 3/23 Doors/Show: 7:30pm/8:30pm All Ages
'GARY JAMES McQUEEN' Debut Solo US Exhibit	March 2, 2024 - March 24, 2024	West Chelsea Contemporary	West Chelsea Contemporary is thrilled to share with Austin the opening of GARY JAMES McQUEEN, the first solo US exhibition by London-based artist Gary James McQueen – nephew of renowned fashion icon Alexander ‘Lee’ McQueen. The gallery is presenting for the first time the artist’s entire body of work, influenced by the mentorship of Lee from a young age, which encouraged his creative exploration and fostered his ability to world-build at the intersection of art, fashion and technology. GARY JAMES McQUEEN opens on Saturday, March 2 and runs through Sunday, March 24.  From beginning roles in design at the house of McQueen, creating a first of its kind, fully digital fashion show under his own brand, and designing ‘skins’ for avatars with the likes of Disney’s latest collaborator, Epic Games – to breathing life into his trademark chrome skull artwork that became the face of the exhibit which traveled to The Met and Victoria and Albert Museum in 2010, Gary James McQueen is ever pushing the envelope of what it means to be an artist. This first solo exhibit in the US serves as an exploration of artistic innovation, an homage to familial heritage, and an invitation to experience the extraordinary future of creative expression.
A Year With Frog and Toad	3/17/2024, 3/23/2024, 3/24/2024, 3/30/2024, 4/6/2024, 4/7/2024, 4/13/2024, 4/14/2024, 4/20/2024, 4/21/2024, 4/27/2024, 4/28/2024, 5/5/2024, 5/11/2024, 5/12/2024	The Kleberg at ZACH Theatre	Based on Arnold Lobel’s beloved book, the Tony-nominated musical A Year with Frog and Toad celebrates enduring friendship and life’s lessons as Frog and Toad navigate the changing seasons together, engaging audiences with a charming blend of vaudeville, make-believe, and an enchanting jazzy score that delights the whole family.  Age Recommendation: 3 & up  Happens on the following Dates: Feb 23, 2024, 7:00pm to 8:00pm CST Feb 24, 2024, 2:00pm to 3:00pm CST Mar 2, 2024, 2:00pm to 3:00pm CST Mar 17, 2024, 2:00pm to 3:00pm CST Mar 23, 2024, 2:00pm to 3:00pm CST Mar 24, 2024, 2:00pm to 3:00pm CST Mar 30, 2024, 2:00pm to 3:00pm CST Apr 6, 2024, 2:00pm to 3:00pm CST Apr 7, 2024, 2:00pm to 3:00pm CST Apr 13, 2024, 2:00pm to 3:00pm CST Apr 14, 2024, 2:00pm to 3:00pm CST Apr 20, 2024, 2:00pm to 3:00pm CST Apr 21, 2024, 2:00pm to 3:00pm CST Apr 27, 2024, 2:00pm to 3:00pm CST Apr 28, 2024, 2:00pm to 3:00pm CST May 5, 2024, 2:00pm to 3:00pm CST May 11, 2024, 2:00pm to 3:00pm CST May 12, 2024, 2:00pm to 3:00pm CST
ACG Originals: THIS HEART with Daniel Fears &amp; JIJI	3/23/2024, 3/24/2024	The Rosette	THIS HEART with Daniel Fears & Jiji Saturday, March 23rd at 4:30pm CT Saturday, March 23rd at 8pm CT Sunday, March 24th at 4:30pm CT  Two of the most innovative and boundary-breaking artists we know, Jiji (classical and electric guitar) and Daniel Fears (singer, multi-instrumentalist) connect for a performance that captures and contemplates the spiritual essence of music. Drawing inspiration from the interplay of light and shadow in the human experience, the heart of this collaboration pulsates with raw emotion and compassion.  We can’t wait to see what they have in store!
